,RET_L10,RET_L21,RET_L63,RET_L126,MAC_L10,MAC_L21,MAC_L63,MAC_L126,BRK_L10,BRK_L21,BRK_L63,BRK_L126,LREG_L10,LREG_L21,LREG_L63,LREG_L126
RET_L10,1.0,0.7585718200604809,0.6583600972002631,0.6415279792288573,0.8212531218004647,0.7741982436851099,0.6029164687404257,0.5480780688517565,0.69123304969145,0.6906630600921373,0.6894207928688586,0.6888733517969772,0.8778052026234887,0.7393712091130563,0.6068307103871609,0.5460467995517291
RET_L21,0.7585718200604809,1.0,0.7884601975743524,0.7336098574058263,0.7160086929162718,0.8884596363624621,0.7468154538424564,0.6425422329725808,0.6585588004649053,0.6582823394987186,0.6574430601699017,0.6568517165588239,0.7486187212165073,0.9086639153463937,0.7240577520472137,0.631860756065532
RET_L63,0.6583600972002631,0.7884601975743524,1.0,0.880221716968783,0.6353909185486597,0.7407124097288313,0.9298866955060203,0.854714675461995,0.7003849431090946,0.7002649919939848,0.7002576498127804,0.6997182409679579,0.6557308790530102,0.7566577443763627,0.9379115594931904,0.8182970153576182
RET_L126,0.6415279792288573,0.7336098574058263,0.880221716968783,1.0,0.6277435109015939,0.7053307338300905,0.8586937947109093,0.882084948523517,0.7144051010386826,0.7144428397327777,0.7146609342049792,0.714424146812596,0.6498945584779428,0.7045733414391909,0.8640815533755488,0.8800444834138413
MAC_L10,0.8212531218004647,0.7160086929162718,0.6353909185486597,0.6277435109015939,1.0,0.6855905462057669,0.5805409902581327,0.5534081277445558,0.6851740456503751,0.6845713437576478,0.6832476472730108,0.6827717337105419,0.8980815886124007,0.6596470892735075,0.58635572638453,0.5526556548854293
MAC_L21,0.7741982436851099,0.8884596363624621,0.7407124097288313,0.7053307338300905,0.6855905462057669,1.0,0.7030643073421147,0.6206273607076641,0.66569444592318,0.6657808781637778,0.6651011527255937,0.664657367362761,0.756423429547746,0.9455065559929193,0.6900384612893122,0.6167744842411115
MAC_L63,0.6029164687404257,0.7468154538424564,0.9298866955060203,0.8586937947109093,0.5805409902581327,0.7030643073421147,1.0,0.8537681210937539,0.7265627886036569,0.7266260436588927,0.7269812983320767,0.7268562106884088,0.6020315354353953,0.7256571056873587,0.9713415831869141,0.8205346884132326
MAC_L126,0.5480780688517565,0.6425422329725808,0.854714675461995,0.882084948523517,0.5534081277445558,0.6206273607076641,0.8537681210937539,1.0,0.7609137521961197,0.7609540918278357,0.761300605971166,0.7611846845883629,0.5588079328216241,0.6311886347793493,0.8879142964712556,0.9597648197423434
BRK_L10,0.69123304969145,0.6585588004649053,0.7003849431090946,0.7144051010386826,0.6851740456503751,0.66569444592318,0.7265627886036569,0.7609137521961197,1.0,0.9999378563569988,0.9998264777171664,0.9997638201495348,0.6883627706877016,0.6701037647676621,0.7327861201040624,0.7577337395462653
BRK_L21,0.6906630600921373,0.6582823394987186,0.7002649919939848,0.7144428397327777,0.6845713437576478,0.6657808781637778,0.7266260436588927,0.7609540918278357,0.9999378563569988,1.0,0.9999011276451033,0.9998422311132027,0.6878090062926666,0.6701595353476836,0.7328391699784393,0.7578116003975133
BRK_L63,0.6894207928688586,0.6574430601699017,0.7002576498127804,0.7146609342049792,0.6832476472730108,0.6651011527255937,0.7269812983320767,0.761300605971166,0.9998264777171664,0.9999011276451033,1.0,0.9999698308370144,0.6865486485962248,0.669602914452861,0.7330220326129161,0.7582112380334939
BRK_L126,0.6888733517969772,0.6568517165588239,0.6997182409679579,0.714424146812596,0.6827717337105419,0.664657367362761,0.7268562106884088,0.7611846845883629,0.9997638201495348,0.9998422311132027,0.9999698308370144,1.0,0.6860808186848449,0.6691446355662022,0.7328146437247395,0.7582198108828044
LREG_L10,0.8778052026234887,0.7486187212165073,0.6557308790530102,0.6498945584779428,0.8980815886124007,0.756423429547746,0.6020315354353953,0.5588079328216241,0.6883627706877016,0.6878090062926666,0.6865486485962248,0.6860808186848449,1.0,0.7053916940480126,0.6022514017241073,0.5610717780970799
LREG_L21,0.7393712091130563,0.9086639153463937,0.7566577443763627,0.7045733414391909,0.6596470892735075,0.9455065559929193,0.7256571056873587,0.6311886347793493,0.6701037647676621,0.6701595353476836,0.669602914452861,0.6691446355662022,0.7053916940480126,1.0,0.7131875212598471,0.6237786655311097
LREG_L63,0.6068307103871609,0.7240577520472137,0.9379115594931904,0.8640815533755488,0.58635572638453,0.6900384612893122,0.9713415831869141,0.8879142964712556,0.7327861201040624,0.7328391699784393,0.7330220326129161,0.7328146437247395,0.6022514017241073,0.7131875212598471,1.0,0.8446843886716328
LREG_L126,0.5460467995517291,0.631860756065532,0.8182970153576182,0.8800444834138413,0.5526556548854293,0.6167744842411115,0.8205346884132326,0.9597648197423434,0.7577337395462653,0.7578116003975133,0.7582112380334939,0.7582198108828044,0.5610717780970799,0.6237786655311097,0.8446843886716328,1.0
